Couple,Age Difference,Married (1) Divorced (0),DrPepperSchwartz,DrLoganLevkoff,DrJosephCilona,ChaplainGregEpstein,PastorCalvinRoberson,RachelDeAlto,DrJessicaGriffin,DrVivianaColes
17,3,0,1,0,0,0,1,0,1,0
18,0,0,1,0,0,0,1,0,1,0
19,0,0,1,0,0,0,1,0,1,0
20,3,1,1,0,0,0,1,0,1,0
21,1,0,1,0,0,0,1,0,1,0
22,2,1,1,0,0,0,1,0,1,0
23,7,0,1,0,0,0,1,0,1,0
24,3,0,1,0,0,0,1,0,1,0
25,0,1,1,0,0,0,1,0,1,0
26,0,0,1,0,0,0,1,0,0,1
27,6,1,1,0,0,0,1,0,0,1
28,2,1,1,0,0,0,1,0,0,1
29,4,0,1,0,0,0,1,0,0,1
30,1,0,1,0,0,0,1,0,0,1
31,0,1,1,0,0,0,1,0,0,1
32,7,0,1,0,0,0,1,0,0,1
33,6,0,1,0,0,0,1,0,0,1
34,2,0,1,0,0,0,1,0,0,1
